"AFML DATE","PAGE NO","REG NO",PILOT_ID,COPILOT_ID,EOB
`11/12/2019,001263,PK-SNS,51,74,0
`11/12/2019,2761,PK-SNP,30,55,0
`11/12/2019,2761,PK-SNP,30,55,0
`20/11/2019,000947,PK-SNP,70,87,0
`10/12/2019,001162,PK-SNS,51,,0
`11/12/2019,001263,PK-SNS,51,74,0
`10/12/2019,001262,PK-SNS,51,,68
`09/12/2019,001261,PK-SNS,51,75,0
`11/12/2019,001665,PK-SNN,85,53,0
`10/10/2000,100,PK-SNH,38,,0
`10/10/1000,100,PK-SNH,30,,0
`11/12/2019,2716,PK-SNP,30,55,0
`11/12/2019,2716,PK-SNP,30,55,0
`11/12/2019,2716,PK-SNP,30,55,0
`07/12/2019,001260,PK-SNS,51,75,0
`07/12/2019,001259,PK-SNS,51,75,0
`05/12/2019,001258,PK-SNS,51,75,0
`04/12/2019,001257,PK-SNS,51,75,0
`03/12/2019,001256,PK-SNS,51,75,0
`02/12/2019,001255,PK-SNS,51,75,0
`21/11/2019,000948,PK-SNP,70,87,0
`22/11/2019,000949,PK-SNP,70,87,0
`23/11/2019,000950,PK-SNP,70,87,0
`25/11/2019,2702,PK-SNP,30,87,0
`26/11/2019,2703,PK-SNP,30,87,0
`27/11/2019,2704,PK-SNP,30,87,0
`29/11/2019,2706,PK-SNP,30,66,0
`30/11/2019,2707,PK-SNP,30,,0
`02/12/2019,2708,PK-SNP,30,66,0
`03/12/2019,2709,PK-SNP,30,66,0
`04/12/2019,2710,PK-SNP,30,,0
`05/12/2019,2711,PK-SNP,30,,0
`06/12/2019,2712,PK-SNP,30,,0
`07/12/2019,2713,PK-SNP,30,,0
`11/12/2019,2716,PK-SNP,30,55,0
